type,t0,adc0,t1,adc1,t2,adc2,t3,adc3,t4,acc_x,acc_y,acc_z,t5,gyro_x,gyro_y,gyro_z,adc0_filtered,adc1_filtered
adc,1543140394.0,0.2550000250339508,1543149442.0,0.5112500190734863,1543158474.0,0.163875013589859,1543167509.0,0.4367500245571136,,,,,,,,,-0.03281884558298065,0.023170958106451266
adc,1543176746.0,-0.3072500228881836,1543185789.0,0.905750036239624,1543194827.0,0.1268750131130218,1543203861.0,0.4266250133514404,,,,,,,,,-0.5878188179677004,0.4487062424683821
adc,1543213044.0,-0.1541250050067901,1543222086.0,0.5365000367164612,1543231113.0,0.0988750010728836,1543240422.0,0.4201250076293945,,,,,,,,,-0.4269803054357185,0.10949787429862512
adc,1543249639.0,0.4617500305175781,1543258680.0,-0.0401250012218952,1543267716.0,0.1112500056624412,1543276749.0,0.3528750240802765,,,,,,,,,0.19679103619690075,-0.43886637345957624
adc,1543285782.0,0.862500011920929,1543294820.0,-0.2845000028610229,1543303854.0,0.1420000046491623,1543312887.0,0.3428750038146972,,,,,,,,,0.6054501872631759,-0.6575026730060297
adc,1543322202.0,0.4531250298023224,1543331240.0,0.2098750174045562,1543340427.0,0.1503750085830688,1543349464.0,0.304625004529953,,,,,,,,,0.20389268898088578,-0.14051800656896718
adc,1543358675.0,-0.1092500016093254,1543367722.0,0.8250000476837158,1543376764.0,0.1338750123977661,1543385794.0,0.3017500042915344,,,,,,,,,-0.3508453579530271,0.49367569392755084
adc,1543394838.0,-0.2830000221729278,1543403884.0,0.8073750138282776,1543412915.0,0.1283750087022781,1543421948.0,0.3100000023841858,,,,,,,,,-0.5172570697601095,0.4913901205296724
adc,1543431005.0,0.2481250166893005,1543440422.0,0.1602500081062317,1543449467.0,0.1460000127553939,1543458499.0,0.277875006198883,,,,,,,,,0.02072231843963032,-0.14408746559226898
adc,1543467679.0,0.7706250548362732,1543476744.0,-0.3107500076293945,1543485784.0,0.1420000046491623,1543494823.0,0.301250010728836,,,,,,,,,0.5493098167631086,-0.6068862813681932
adc,1543503971.0,0.6740000247955322,1543513017.0,-0.0388750024139881,1543522055.0,0.1708750128746032,1543531084.0,0.3055000007152557,,,,,,,,,0.4576046558507103,-0.32983277056019816
adc,1543540581.0,0.106000006198883,1543549633.0,0.5750000476837158,1543558674.0,0.1846250146627426,1543567710.0,0.3243750035762787,,,,,,,,,-0.1071635477050582,0.286753928016709
adc,1543576955.0,-0.30137500166893,1543586000.0,0.9790000319480896,1543595036.0,0.1838750094175338,1543604064.0,0.324500024318695,,,,,,,,,-0.5136124287661217,0.6916287149896956
